id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,other_data
,1,Wasseralfinger Str. 66 73434 Aalen-Fachsenfeld,<p>Wasseralfinger Str. 66<br/>73434 Aalen-Fachsenfeld</p>,,,,48.8784866,10.0499964,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Bezirksstr. 16 67122 Altrip,<p>Bezirksstr. 16<br/>67122 Altrip</p>,,,,49.434967,8.484531,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Landsberger Str. 20 86807 Buchloe,<p>Landsberger Str. 20<br/>86807 Buchloe</p>,,,,48.03594,10.7324829,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Barmer Str. 44 58332 Schwelm,<p>Barmer Str. 44<br/>58332 Schwelm</p>,,,,51.2806053,7.278696,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Berliner Str. 111 51063 Köln,<p>Berliner Str. 111<br/>51063 Köln</p>,,,,50.9738,7.012554,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Altenberger Str. 93 42929 Wermelskirchen,<p>Altenberger Str. 93<br/>42929 Wermelskirchen</p>,,,,51.091156,7.186871,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Beuchaer Str. 73 4821 Brandis,<p>Beuchaer Str. 73<br/>4821 Brandis</p>,,,,51.3299141,12.5928259,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Bahnhofstr. 57 52388 Nörvenich,<p>Bahnhofstr. 57<br/>52388 Nörvenich</p>,,,,50.8097343,6.636635,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Kurt-Schumacher-Damm 12 49078 Osnabrück,<p>Kurt-Schumacher-Damm 12<br/>49078 Osnabrück</p>,,,,52.2706223,8.024833,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Pasinger Str. 50 82166 Gräfelfing,<p>Pasinger Str. 50<br/>82166 Gräfelfing</p>,,,,48.1181,11.44267,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Neckaraue 2 71686 Remseck,<p>Neckaraue 2<br/>71686 Remseck</p>,,,,48.8901978,9.271213,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Bottroper Str. 298a 45356 Essen,<p>Bottroper Str. 298a<br/>45356 Essen</p>,,,,51.4843674,6.975781,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Haunstetter Str. 75 86161 Augsburg,<p>Haunstetter Str. 75<br/>86161 Augsburg</p>,,,,48.3462753,10.905344,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Ulmer Str. 13 89340 Leipheim,<p>Ulmer Str. 13<br/>89340 Leipheim</p>,,,,48.4458847,10.21254,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Oberstdorfer Str. 13 87435 Kempten,<p>Oberstdorfer Str. 13<br/>87435 Kempten</p>,,,,47.70613,10.3116608,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Friedberger Str. 471/4 86161 Augsburg,<p>Friedberger Str. 471/4<br/>86161 Augsburg</p>,,,,48.35563,10.9190016,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Leipziger Str. 266 34260 Kaufungen,<p>Leipziger Str. 266<br/>34260 Kaufungen</p>,,,,51.28422,9.602628,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Fautenbacher Str. 22 77855 Achern,<p>Fautenbacher Str. 22<br/>77855 Achern</p>,,,,48.6285133,8.063374,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Boltensternstr. 350 50735 Köln,<p>Boltensternstr. 350<br/>50735 Köln</p>,,,,50.980299,6.970215,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Freienhufener Str. 21 1983 Großräschen,<p>Freienhufener Str. 21<br/>1983 Großräschen</p>,,,,51.5857735,14.0026836,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Berliner Str. 170 45144 Essen,<p>Berliner Str. 170<br/>45144 Essen</p>,,,,51.4524536,6.972793,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Riedlinger Str. 67 88422 Bad Buchau,<p>Riedlinger Str. 67<br/>88422 Bad Buchau</p>,,,,48.0598946,9.594575,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Düsseldorfer Str. 491 51061 Köln,<p>Düsseldorfer Str. 491<br/>51061 Köln</p>,,,,50.98954,6.998822,0,ARAL,0,2,1,0,0,,a:0:{}
,1,Merscheider Str. 150 42699 Solingen,<p>Merscheider Str. 150<br/>42699 Solingen</p>,,,,51.165339,7.025495,0,BFT,0,8,1,0,0,,a:0:{}
,1,Züricher Str. 46 28325 Bremen,<p>Züricher Str. 46<br/>28325 Bremen</p>,,,,53.0668,8.94228,0,BFT,0,8,1,0,0,,a:0:{}
,1,Friedrich-Karl-Str. 90 50735 Köln,<p>Friedrich-Karl-Str. 90<br/>50735 Köln</p>,,,,50.974345,6.958375,0,BFT,0,8,1,0,0,,a:0:{}
,1,Brunnenstr. 121 32584 Löhne,<p>Brunnenstr. 121<br/>32584 Löhne</p>,,,,52.1851,8.69447,0,BFT,0,8,1,0,0,,a:0:{}
,1,Neue Str. 3 37643 Negenborn,<p>Neue Str. 3<br/>37643 Negenborn</p>,,,,51.8848,9.56591,0,BFT,0,8,1,0,0,,a:0:{}
,1,Bahnhofstr. 46 32105 Bad Salzuflen,<p>Bahnhofstr. 46<br/>32105 Bad Salzuflen</p>,,,,52.0813,8.74293,0,BFT,0,8,1,0,0,,a:0:{}
,1,Wilhelmshöhe 3 56766 Auderath,<p>Wilhelmshöhe 3<br/>56766 Auderath</p>,,,,50.19128374,7.017785311,0,BFT,0,8,1,0,0,,a:0:{}
,1,Sebastianstr. 104 53474 Bad Neuenahr,<p>Sebastianstr. 104<br/>53474 Bad Neuenahr</p>,,,,50.5455,7.12072,0,BFT,0,8,1,0,0,,a:0:{}
